insee_code,Commune,code_postal,adresse,prefixe_section,Section,No plan,id_parcelle,No voie,btq,Type de voie,Voie,surface_reelle_bati,n_sales,first_date,last_date,min_gap_days,years,first_price,last_price,ppm2_first,ppm2_last,pct_change,ann_pct,mutations
13208,MARSEILLE 8EME,13008,"40 BD EMILE SICARD, 13008 MARSEILLE 8EME",843,N,8,132088430N0008,40.0,,BD,EMILE SICARD,344.0,2,2020-12-14,2024-09-30,1386,3.79,1925000.0,1802800.0,5596.0,5241.0,-6.3,-1.7,"[{""date_mutation"": ""2020-12-14"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 1925000.0, ""surface_reelle_bati"": 344.0, ""nombre_pieces_principales"": 7.0, ""surface_terrain"": 453.0, ""nb_lignes"": 2}, {""date_mutation"": ""2024-09-30"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 1802800.0, ""surface_reelle_bati"": 344.0, ""nombre_pieces_principales"": 7.0, ""surface_terrain"": 686.0, ""nb_lignes"": 2}]"
13213,MARSEILLE 13EME,13013,"283 CHE DE CHATEAU GOMBERT, 13013 MARSEILLE 13EME",889,C,288,132138890C0288,283.0,,CHE,DE CHATEAU GOMBERT,97.0,2,2022-02-28,2023-08-28,546,1.49,479000.0,465000.0,4938.0,4794.0,-2.9,-2.0,"[{""date_mutation"": ""2022-02-28"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 479000.0, ""surface_reelle_bati"": 97.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 453.0, ""nb_lignes"": 1}, {""date_mutation"": ""2023-08-28"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 465000.0, ""surface_reelle_bati"": 97.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 453.0, ""nb_lignes"": 1}]"
13216,MARSEILLE 16EME,13016,"4 TRA MOUREPIANE, 13016 MARSEILLE 16EME",911,E,73,132169110E0073,4.0,,TRA,MOUREPIANE,40.0,2,2021-07-05,2025-05-13,1408,3.85,158000.0,143400.0,3950.0,3585.0,-9.2,-2.5,"[{""date_mutation"": ""2021-07-05"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 158000.0, ""surface_reelle_bati"": 40.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 44.0, ""nb_lignes"": 1}, {""date_mutation"": ""2025-05-13"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 143400.0, ""surface_reelle_bati"": 40.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 44.0, ""nb_lignes"": 1}]"
13212,MARSEILLE 12EME,13012,"6 RUE LAZARINE, 13012 MARSEILLE 12EME",875,O,42,132128750O0042,6.0,,RUE,LAZARINE,48.0,2,2022-07-20,2025-05-15,1030,2.82,384000.0,357300.0,8000.0,7444.0,-7.0,-2.5,"[{""date_mutation"": ""2022-07-20"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 384000.0, ""surface_reelle_bati"": 48.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 58.0, ""nb_lignes"": 1}, {""date_mutation"": ""2025-05-15"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 357300.0, ""surface_reelle_bati"": 48.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 58.0, ""nb_lignes"": 1}]"
13207,MARSEILLE 7EME,13007,"27 B TRA DU FRIOUL, 13007 MARSEILLE 7EME",830,D,173,132078300D0173,27.0,B,TRA,DU FRIOUL,168.0,2,2021-01-18,2023-09-21,976,2.67,1238475.0,1148500.0,7372.0,6836.0,-7.3,-2.8,"[{""date_mutation"": ""2021-01-18"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 1238475.0, ""surface_reelle_bati"": 168.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 57.0, ""nb_lignes"": 1}, {""date_mutation"": ""2023-09-21"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 1148500.0, ""surface_reelle_bati"": 168.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 57.0, ""nb_lignes"": 1}]"
13204,MARSEILLE 4EME,13004,"8 IMP DE LA PEPINIERE, 13004 MARSEILLE 4EME",817,K,66,132048170K0066,8.0,,IMP,DE LA PEPINIERE,112.0,2,2021-06-16,2023-10-27,863,2.36,670220.0,625380.0,5984.0,5584.0,-6.7,-2.9,"[{""date_mutation"": ""2021-06-16"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 670220.0, ""surface_reelle_bati"": 112.0, ""nombre_pieces_principales"": 5.0, ""surface_terrain"": 531.0, ""nb_lignes"": 1}, {""date_mutation"": ""2023-10-27"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 625380.0, ""surface_reelle_bati"": 112.0, ""nombre_pieces_principales"": 5.0, ""surface_terrain"": 531.0, ""nb_lignes"": 1}]"
13213,MARSEILLE 13EME,13013,"1 IMP RIVET, 13013 MARSEILLE 13EME",879,N,149,132138790N0149,1.0,,IMP,RIVET,60.0,2,2021-06-30,2025-01-24,1304,3.57,210000.0,188000.0,3500.0,3133.0,-10.5,-3.1,"[{""date_mutation"": ""2021-06-30"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 210000.0, ""surface_reelle_bati"": 60.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 45.0, ""nb_lignes"": 1}, {""date_mutation"": ""2025-01-24"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 188000.0, ""surface_reelle_bati"": 60.0, ""nombre_pieces_principales"": 3.0, ""surface_terrain"": 45.0, ""nb_lignes"": 1}]"
13214,MARSEILLE 14EME,13014,"6 TSSE DU CROISSANT DORE, 13014 MARSEILLE 14EME",891,B,7,132148910B0007,6.0,,TSSE,DU CROISSANT DORE,40.0,2,2020-10-09,2024-12-27,1540,4.22,220000.0,180000.0,5500.0,4500.0,-18.2,-4.6,"[{""date_mutation"": ""2020-10-09"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 220000.0, ""surface_reelle_bati"": 40.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 210.0, ""nb_lignes"": 1}, {""date_mutation"": ""2024-12-27"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 180000.0, ""surface_reelle_bati"": 40.0, ""nombre_pieces_principales"": 4.0, ""surface_terrain"": 210.0, ""nb_lignes"": 1}]"
13212,MARSEILLE 12EME,13012,"4 RUE D HAIPHONG, 13012 MARSEILLE 12EME",872,D,86,132128720D0086,4.0,,RUE,D HAIPHONG,36.0,2,2020-12-22,2024-03-19,1183,3.24,140000.0,115000.0,3889.0,3194.0,-17.9,-5.9,"[{""date_mutation"": ""2020-12-22"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 140000.0, ""surface_reelle_bati"": 36.0, ""nombre_pieces_principales"": 1.0, ""surface_terrain"": 21.0, ""nb_lignes"": 1}, {""date_mutation"": ""2024-03-19"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 115000.0, ""surface_reelle_bati"": 36.0, ""nombre_pieces_principales"": 1.0, ""surface_terrain"": 21.0, ""nb_lignes"": 1}]"
13212,MARSEILLE 12EME,13012,"10 IMP BONNIOT, 13012 MARSEILLE 12EME",877,S,61,132128770S0061,10.0,,IMP,BONNIOT,187.0,2,2023-11-17,2025-05-28,558,1.53,1237000.0,1099560.0,6615.0,5880.0,-11.1,-7.4,"[{""date_mutation"": ""2023-11-17"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 1237000.0, ""surface_reelle_bati"": 187.0, ""nombre_pieces_principales"": 7.0, ""surface_terrain"": 942.0, ""nb_lignes"": 1}, {""date_mutation"": ""2025-05-28"", ""nature_mutation"": ""Vente"", ""valeur_fonciere"": 1099560.0, ""surface_reelle_bati"": 187.0, ""nombre_pieces_principales"": 7.0, ""surface_terrain"": 942.0, ""nb_lignes"": 1}]"
